TOT_POP,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
559335.0,136613.0,112051.0,10.0,177699.0,4.04824483
58930.0,9306.0,12035.0,28.0,22614.0,1.95346104
50953.0,4839.0,15335.0,51.0,22153.0,0.574274348
14432.0,1243.0,3347.0,21.0,5955.0,0.339127948
996945.0,297633.0,235062.0,29.0,316527.0,19.8528104
54993.0,18316.0,8107.0,8.0,11906.0,0.859331402
45358.0,4982.0,11070.0,39.0,16838.0,0.752769208
47542.0,8072.0,12977.0,48.0,17381.0,0.86630201
136373.0,27380.0,31200.0,6.0,39310.0,1.237653293
45467.0,4471.0,12165.0,37.0,17405.0,0.490417022
10134.0,955.0,2454.0,40.0,3824.0,0.321259097
196584.0,32838.0,42061.0,55.0,70409.0,4.497353777
16603.0,1730.0,5519.0,5.0,6700.0,0.484787272
16141.0,2142.0,3976.0,19.0,5398.0,0.603469739
34055.0,3829.0,9123.0,19.0,12117.0,1.273227307
8013.0,1195.0,2300.0,51.0,3159.0,0.090311863
22895.0,2731.0,5380.0,29.0,8920.0,0.455922939
532331.0,99765.0,124285.0,39.0,207524.0,8.834657292
14310.0,943.0,3247.0,12.0,5598.0,0.145791944
293557.0,97804.0,68027.0,23.0,80819.0,7.457343224
159337.0,20564.0,38914.0,26.0,61796.0,2.295390467
38346.0,4687.0,8814.0,18.0,13979.0,0.756390359
206229.0,46567.0,52544.0,23.0,68180.0,5.238915903
14717.0,1930.0,3592.0,17.0,5083.0,0.216000449
13143.0,820.0,2925.0,13.0,5839.0,0.181162558
42647.0,6942.0,12003.0,19.0,15494.0,1.594459697
164742.0,28795.0,45796.0,42.0,58840.0,2.559811385
45851.0,5236.0,9073.0,21.0,18291.0,1.077422085
94632.0,13518.0,19091.0,51.0,38444.0,1.066565857
6005.0,1225.0,1413.0,48.0,2031.0,0.10942206
469966.0,112640.0,80856.0,16.0,118252.0,12.05585085
7450.0,1148.0,1964.0,56.0,2275.0,0.373959085
65936.0,8312.0,16958.0,18.0,24215.0,1.300614267
14523.0,3281.0,3666.0,51.0,4843.0,0.163683912
42276.0,4911.0,9768.0,39.0,15360.0,0.701619804
129641.0,16174.0,30680.0,18.0,54545.0,2.557221157
86976.0,11083.0,16787.0,48.0,34606.0,1.584861461
33190.0,3636.0,9534.0,37.0,14983.0,0.357994611
7380.0,1274.0,2187.0,46.0,2303.0,0.476811734
49791.0,11811.0,6710.0,53.0,12751.0,0.607884902
43892.0,2253.0,7689.0,39.0,12920.0,0.728439219
31666.0,4342.0,8552.0,51.0,12010.0,0.356896974
127335.0,16618.0,29548.0,41.0,44633.0,1.8534877
53140.0,7579.0,15778.0,47.0,21647.0,0.902672226
5882.0,565.0,1296.0,8.0,2010.0,0.091913285
98105.0,25714.0,14980.0,19.0,28203.0,3.66788915
6549.0,551.0,1714.0,47.0,2853.0,0.111245774
15096.0,2330.0,5016.0,26.0,6571.0,0.217471237
88355.0,16432.0,17641.0,51.0,30020.0,0.995819874
17844.0,2773.0,5387.0,17.0,6517.0,0.261895224
157413.0,32781.0,57277.0,12.0,55067.0,1.60374195
14503.0,2053.0,4307.0,8.0,4870.0,0.226626722
84460.0,19576.0,24585.0,53.0,25937.0,1.031149382
171700.0,28437.0,40002.0,49.0,47000.0,2.933088271
13565.0,1528.0,3948.0,17.0,5225.0,0.19909262
73901.0,8205.0,19476.0,53.0,26629.0,0.902237396
